track_id,race_date,race_number,distance_id,course_type,track_condition,run_up_distance,race_type,purse,post_time
AQU,1/1/2019,1,650,D,MY ,36,AOC,80000,1220
AQU,1/1/2019,2,600,D,MY ,48,MCL,41000,1250
AQU,1/1/2019,3,550,D,MY ,54,MCL,35000,121
AQU,1/1/2019,4,900,D,MY ,101,AOC,80000,150
AQU,1/1/2019,5,700,D,MY ,60,ALW,64000,220
AQU,1/1/2019,6,600,D,MY ,48,MCL,46000,251
AQU,1/1/2019,7,650,D,GD ,36,AOC,67000,323
AQU,1/1/2019,8,800,D,GD ,54,STK,150000,350
AQU,1/1/2019,9,600,D,GD ,48,CLM,25000,420
AQU,1/4/2019,1,800,D,FT ,54,MSW,68000,1250
AQU,1/4/2019,2,700,D,FT ,45,MSW,68000,122
AQU,1/4/2019,3,600,D,FT ,48,CLM,28000,157
AQU,1/4/2019,4,700,D,FT ,45,MCL,46000,227
AQU,1/4/2019,5,900,D,FT ,72,CLM,46000,300
AQU,1/4/2019,6,800,D,FT ,54,CLM,32000,331
AQU,1/4/2019,7,900,D,FT ,98,AOC,67000,359
AQU,1/4/2019,8,600,D,FT ,48,MCL,30000,428
AQU,1/5/2019,1,800,D,SY ,54,MCL,33000,1226
AQU,1/5/2019,2,800,D,SY ,54,STR,55000,1256
AQU,1/5/2019,3,800,D,SY ,54,MSW,60000,126
AQU,1/5/2019,4,650,D,SY ,32,MSW,60000,158
AQU,1/5/2019,5,650,D,SY ,32,AOC,75000,226
AQU,1/5/2019,6,550,D,SY ,52,MSW,60000,258
AQU,1/5/2019,7,600,D,SY ,48,ALW,70000,327
AQU,1/5/2019,8,700,D,SY ,45,STK,100000,358
AQU,1/5/2019,9,900,D,SY ,96,CLM,28000,428
AQU,1/6/2019,1,800,D,MY ,54,CLM,43000,1250
AQU,1/6/2019,2,550,D,MY ,52,CLM,36000,122
AQU,1/6/2019,3,650,D,MY ,32,MCL,41000,155
AQU,1/6/2019,4,800,D,MY ,54,SOC,60000,226
AQU,1/6/2019,5,800,D,MY ,54,MCL,35000,257
AQU,1/6/2019,6,650,D,MY ,32,CLM,36000,327
AQU,1/6/2019,7,600,D,MY ,45,AOC,64000,358
AQU,1/6/2019,8,700,D,MY ,45,AOC,67000,428
AQU,1/10/2019,1,800,D,FT ,54,STR,55000,1250
AQU,1/10/2019,2,900,D,FT ,101,MSW,60000,122
AQU,1/10/2019,3,800,D,FT ,54,MCL,30000,200
AQU,1/10/2019,4,600,D,FT ,48,MSW,68000,229
AQU,1/10/2019,5,600,D,FT ,48,CLM,42000,257
AQU,1/11/2019,1,800,D,FT ,54,MSW,68000,1250
AQU,1/11/2019,2,800,D,FT ,54,CLM,36000,122
AQU,1/11/2019,3,600,D,FT ,52,MSW,60000,155
AQU,1/11/2019,4,800,D,FT ,54,AOC,70000,227
AQU,1/11/2019,5,600,D,FT ,52,MSW,60000,258
AQU,1/11/2019,6,550,D,FT ,60,CLM,46000,327
AQU,1/11/2019,7,700,D,FT ,44,ALW,64000,359
AQU,1/11/2019,8,650,D,FT ,33,MCL,33000,429
AQU,1/12/2019,1,650,D,FT ,32,MCL,35000,1228
AQU,1/12/2019,2,550,D,FT ,54,CLM,32000,100
AQU,1/12/2019,3,650,D,FT ,32,STR,55000,130
AQU,1/12/2019,4,650,D,FT ,32,MCL,35000,202
AQU,1/12/2019,5,600,D,FT ,45,CLM,28000,231
AQU,1/12/2019,6,600,D,FT ,45,CLM,32000,300
AQU,1/12/2019,7,800,D,FT ,54,ALW,70000,331
AQU,1/12/2019,8,700,D,FT ,45,STK,100000,402
AQU,1/12/2019,9,800,D,FT ,54,MCL,33000,432
AQU,1/13/2019,1,550,D,FT ,63,MSW,68000,1251
AQU,1/13/2019,2,900,D,FT ,84,AOC,75000,122
AQU,1/13/2019,3,650,D,FT ,45,CLM,42000,157
