track_id,race_date,race_number,program_number,weight_carried,jockey,odds,position_at_finish
AQU,1/1/2019,1,1,123,Dylan Davis,130,2
AQU,1/1/2019,1,2,120,Junior Alvarado,295,3
AQU,1/1/2019,1,3,118,Jose Lezcano,180,4
AQU,1/1/2019,1,4,123,Jomar Garcia,1280,5
AQU,1/1/2019,1,5,118,Manuel Franco,1150,1
AQU,1/1/2019,2,1,121,Jose Lezcano,220,2
AQU,1/1/2019,2,2,114,Benjamin Hernandez,940,7
AQU,1/1/2019,2,3,121,Dylan Davis,165,4
AQU,1/1/2019,2,4,123,Jomar Garcia,1760,5
AQU,1/1/2019,2,5,121,Andre Shivnarine Worrie,800,3
AQU,1/1/2019,2,6,116,Reylu Gutierrez,340,1
AQU,1/1/2019,2,7,121,Eric Cancel,3975,6
AQU,1/1/2019,3,1,120,Junior Alvarado,75,2
AQU,1/1/2019,3,2,120,Eric Cancel,5850,8
AQU,1/1/2019,3,3,113,Benjamin Hernandez,315,1
AQU,1/1/2019,3,4,120,Manuel Franco,980,3
AQU,1/1/2019,3,5,120,Jose Lezcano,1060,7
AQU,1/1/2019,3,6,115,Reylu Gutierrez,790,5
AQU,1/1/2019,3,7,120,Rajiv Maragh,2550,4
AQU,1/1/2019,3,8,120,Andre Shivnarine Worrie,2550,6
AQU,1/1/2019,4,1,118,Dylan Davis,200,1
AQU,1/1/2019,4,1A ,124,Luis R. Reyes,200,4
AQU,1/1/2019,4,3,122,Junior Alvarado,395,2
AQU,1/1/2019,4,4,122,Eric Cancel,500,5
AQU,1/1/2019,4,5,122,Manuel Franco,365,6
AQU,1/1/2019,4,6,124,John R. Velazquez,255,3
AQU,1/1/2019,5,1,118,Reylu Gutierrez,100,3
AQU,1/1/2019,5,2,121,Jose Lezcano,5800,6
AQU,1/1/2019,5,3,121,Dylan Davis,1080,7
AQU,1/1/2019,5,5,123,Andre Shivnarine Worrie,1010,4
AQU,1/1/2019,5,6,123,Rajiv Maragh,305,1
AQU,1/1/2019,5,7,123,Junior Alvarado,380,5
AQU,1/1/2019,5,8,121,Manuel Franco,1670,2
AQU,1/1/2019,6,10,120,Eric Cancel,780,4
AQU,1/1/2019,6,2,120,Junior Alvarado,640,3
AQU,1/1/2019,6,5,120,Jose Lezcano,560,7
AQU,1/1/2019,6,6,115,Reylu Gutierrez,105,1
AQU,1/1/2019,6,7,120,Andre Shivnarine Worrie,590,2
AQU,1/1/2019,6,8,120,Rajiv Maragh,1590,6
AQU,1/1/2019,6,9,120,Manuel Franco,850,5
AQU,1/1/2019,7,1,121,Rajiv Maragh,950,3
AQU,1/1/2019,7,2,123,Frankie Pennington,590,2
AQU,1/1/2019,7,3,121,Luis R. Reyes,270,4
AQU,1/1/2019,7,5,116,Reylu Gutierrez,710,7
AQU,1/1/2019,7,6,119,Manuel Franco,360,5
AQU,1/1/2019,7,7,119,Dylan Davis,1990,6
AQU,1/1/2019,7,9,121,Junior Alvarado,235,1
AQU,1/1/2019,8,1,118,Jose Lezcano,540,6
AQU,1/1/2019,8,2,118,Dylan Davis,420,3
AQU,1/1/2019,8,3,123,John R. Velazquez,150,1
AQU,1/1/2019,8,4,120,Jorge A. Vargas Jr.,900,2
AQU,1/1/2019,8,5,118,Frankie Pennington,1400,4
AQU,1/1/2019,8,6,118,Junior Alvarado,245,5
AQU,1/1/2019,9,1,120,Harry Hernandez,5100,9
AQU,1/1/2019,9,10,120,Luis R. Reyes,2370,2
AQU,1/1/2019,9,11,120,Rajiv Maragh,3000,4
AQU,1/1/2019,9,3,113,Benjamin Hernandez,110,1
AQU,1/1/2019,9,4,122,Joel Sone,335,6
AQU,1/1/2019,9,6,120,Andre Shivnarine Worrie,2090,8
AQU,1/1/2019,9,7,124,Manuel Franco,395,7
AQU,1/1/2019,9,8,115,Reylu Gutierrez,850,3
AQU,1/1/2019,9,9,113,Joey R. Martinez,1960,5
AQU,1/4/2019,1,1,115,Reylu Gutierrez,2625,6
AQU,1/4/2019,1,2,120,Manuel Franco,410,4
AQU,1/4/2019,1,3,120,Rajiv Maragh,345,3
AQU,1/4/2019,1,4,120,Junior Alvarado,1900,1
AQU,1/4/2019,1,5,120,Eric Cancel,55,2
AQU,1/4/2019,1,6,120,Jose Lezcano,1900,5
AQU,1/4/2019,2,1,120,Eric Cancel,1660,4
AQU,1/4/2019,2,2,120,Luis R. Reyes,165,3
AQU,1/4/2019,2,3,120,Dylan Davis,840,5
AQU,1/4/2019,2,4,120,Manuel Franco,190,1
AQU,1/4/2019,2,5,115,Reylu Gutierrez,750,2
AQU,1/4/2019,2,6,120,Junior Alvarado,410,6
AQU,1/4/2019,3,1,111,Julio Correa,5175,5
AQU,1/4/2019,3,2,123,Manuel Franco,880,2
AQU,1/4/2019,3,3,123,Harry Hernandez,385,1
AQU,1/4/2019,3,4,121,Jose Lezcano,150,4
AQU,1/4/2019,3,5,116,Benjamin Hernandez,520,6
AQU,1/4/2019,3,7,123,Junior Alvarado,220,3
AQU,1/4/2019,4,1,120,Manuel Franco,180,1
AQU,1/4/2019,4,2,120,Luis R. Reyes,195,3
AQU,1/4/2019,4,3,120,Michael J. Luzzi,1310,7
AQU,1/4/2019,4,4,120,Hector Rafael Diaz Jr.,400,4
AQU,1/4/2019,4,5,115,Reylu Gutierrez,930,2
AQU,1/4/2019,4,6,120,Pablo Fragoso,3475,6
AQU,1/4/2019,4,7,120,Eric Cancel,860,5
AQU,1/4/2019,5,1,120,Jose Lezcano,1380,5
AQU,1/4/2019,5,2,113,Joey R. Martinez,710,4
AQU,1/4/2019,5,3,124,Dylan Davis,105,1
AQU,1/4/2019,5,4,120,Junior Alvarado,390,3
AQU,1/4/2019,5,5,120,Manuel Franco,460,6
AQU,1/4/2019,5,6,115,Reylu Gutierrez,640,2
AQU,1/4/2019,6,1,119,Jose Lezcano,1230,7
AQU,1/4/2019,6,2,123,Junior Alvarado,710,2
AQU,1/4/2019,6,3,119,Manuel Franco,235,1
AQU,1/4/2019,6,4,121,Christopher P. DeCarlo,4775,6
AQU,1/4/2019,6,5,121,Dylan Davis,205,5
AQU,1/4/2019,6,6,114,Reylu Gutierrez,240,3
AQU,1/4/2019,6,7,112,Benjamin Hernandez,1500,4
AQU,1/4/2019,7,1A ,119,Andre Shivnarine Worrie,2050,4
AQU,1/4/2019,7,2,119,Rajiv Maragh,730,2
AQU,1/4/2019,7,4,119,Jose Lezcano,750,5
AQU,1/4/2019,7,5,119,Eric Cancel,190,1
AQU,1/4/2019,7,6,121,Manuel Franco,195,6
AQU,1/4/2019,7,7,119,Junior Alvarado,330,3
AQU,1/4/2019,8,1,121,Dylan Davis,1130,7
AQU,1/4/2019,8,2,112,Heman K. Harkie,2900,5
AQU,1/4/2019,8,3,121,Manuel Franco,40,2
AQU,1/4/2019,8,4,121,Jorge M. Perez,550,1
AQU,1/4/2019,8,6,121,Luis R. Reyes,5975,3
AQU,1/4/2019,8,7,121,Michael J. Luzzi,2925,4
AQU,1/4/2019,8,8,114,Benjamin Hernandez,460,6
AQU,1/5/2019,1,1,121,Luis R. Reyes,175,6
AQU,1/5/2019,1,3,121,Eric Cancel,530,4
AQU,1/5/2019,1,4,121,Manuel Franco,220,2
AQU,1/5/2019,1,5,114,Joey R. Martinez,2725,3
AQU,1/5/2019,1,6,121,Dalton Brown,5050,5
AQU,1/5/2019,1,8,121,Rajiv Maragh,220,1
AQU,1/5/2019,2,1,122,Manuel Franco,240,2
AQU,1/5/2019,2,2,120,Dyn Panell,2925,3
AQU,1/5/2019,2,3,122,Jose Lezcano,2525,6
AQU,1/5/2019,2,4,117,Reylu Gutierrez,205,4
AQU,1/5/2019,2,5,120,Junior Alvarado,155,1
AQU,1/5/2019,2,6,122,David Cohen,770,5
AQU,1/5/2019,3,1,120,Dylan Davis,180,5
AQU,1/5/2019,3,2,120,Hector Rafael Diaz Jr.,900,4
AQU,1/5/2019,3,4,120,Dalton Brown,5900,6
AQU,1/5/2019,3,5,120,Manuel Franco,570,1
AQU,1/5/2019,3,6,120,Jose Lezcano,560,3
AQU,1/5/2019,3,7,120,Junior Alvarado,135,2
AQU,1/5/2019,4,1A ,121,Dylan Davis,540,1
AQU,1/5/2019,4,2,121,Manuel Franco,355,5
AQU,1/5/2019,4,3,121,Christopher P. DeCarlo,900,8
AQU,1/5/2019,4,4,121,Samuel Jimenez,2975,3
AQU,1/5/2019,4,5,121,Rajiv Maragh,1730,4
